sentence,id,category,age_min,age_max,quantified_classification,tag_entity,tag_score,tag_index,tag_word,tag_start,tag_end,subject,words_pointing_to_subject
she just turned two a month ago,317365,1.0,2.0,2.0,Neither,Biological Kind,0.9896774291992188,1.0,she,0.0,3.0,she,turned
she just turned two a month ago,317365,1.0,2.0,2.0,Neither,Behavioral,0.986778736114502,3.0,turned,9.0,15.0,she,turned
she just turned two a month ago,317365,1.0,2.0,2.0,Neither,Perceptual,0.9516636729240416,4.0,two,16.0,19.0,she,turned
she just turned two a month ago,317365,1.0,2.0,2.0,Neither,Non-Living Kind,0.8475418090820312,6.0,month,22.0,27.0,she,turned
I often echo things back to her and interpret her stuff a lot,317379,4.0,2.0,2.0,Neither,Biological Kind,0.9856399297714232,1.0,i,0.0,1.0,I,echo
I often echo things back to her and interpret her stuff a lot,317379,4.0,2.0,2.0,Neither,Behavioral,0.9871832132339478,3.0,echo,8.0,12.0,I,echo
I often echo things back to her and interpret her stuff a lot,317379,4.0,2.0,2.0,Neither,Biological Kind,0.9637150764465332,7.0,her,28.0,31.0,I,echo
I often echo things back to her and interpret her stuff a lot,317379,4.0,2.0,2.0,Neither,Behavioral,0.9882441759109496,9.0,interpret,36.0,45.0,I,echo
I often echo things back to her and interpret her stuff a lot,317379,4.0,2.0,2.0,Neither,Biological Kind,0.9161952137947084,10.0,her,46.0,49.0,I,echo
yeah she's telling you she has an old tape player and a new tape player,317384,1.0,2.0,2.0,Neither,Biological Kind,0.9873176217079164,2.0,she,5.0,8.0,she,"has, telling"
